url,status,page_title,extracted_text,error
https://app.swapcard.com/widget/event/hardware-pioneers-max-26/exhibitor/RXhoaWJpdG9yXzIyODEwOTQ=,200,Esprit Electronics,Esprit Electronics | Information | Contact details | https://espritelectronics.com | Team | LS Laurie Sigournay Managing Director Esprit Electronics | MS Mike Sprague Senior Account Manager Esprit Electronics | RO Russell Otter Sales Director Esprit Electronics,
https://app.swapcard.com/widget/event/hardware-pioneers-max-26/exhibitor/RXhoaWJpdG9yXzI0MjYyNTE=,200,PCBWay,"PCBWay | Products & services | Team | Information | PCBWay is a global EMS company specializing in PCB and PCBA production. We offer services from prototyping to mass production, supporting your projects through design, engineering, and manufacturing. With a dedicated team in France and some European EMS partners, we provide tailored value-added services to help bring your innovations to life. | Social media | Contact details | https://www.pcbway.com/4fr | France | Advanced PCB and Assembly Service (in EU or CN) | Mechanical parts - CNC, Injection molding, 3D printing, Metal Sheet | JW Jérôme Wu Head of Operations (EMEA) PCBWay Europe | Pierre Ribeiro Gomes Head of Sales (EMEA) PCBWay Europe",
https://app.swapcard.com/widget/event/hardware-pioneers-max-26/exhibitor/RXhoaWJpdG9yXzIyNTI2OTA=,200,Win Source,"Win Source | Information | Since 1999, WIN SOURCE has consistently helped customers quickly and accurately find obsolete, end-of-life, and hard-to-find parts, as well as acquire commonly used parts at competitive prices. Our store features over 1 million obsolete and conventional parts, we are committed to guaranteeing 24-hour lightning delivery and 3-year warranty. WIN SOURCE was ranked 16th in SourceToday's ""Top 50 Electronic Component Distributors in the World"" list in 2024.Our business scope (main services provided)1. Online purchase of electronic components (WIN-SOURCE.NET)2. Search for outdated and in short supply parts3. Acquire excess inventory (sell remaining inventory, send email to karl@win-source.net)4. Alternative solutions5. Technical service support (laboratory testing)Product range：1. Common-used material2. Shortage Components & Hard to find 3. Obsolete & End-of-life Parts | Contact details | https://www.win-source.net | China | Team | Connor Todd Sales Manager, UK Win Source Electronics | EH Enrico Hu Regional Sales Director ltaly & United Kingdom Win Source Electronics | KX Krystal Xiang SENIOR PUBLIC RELATIONS OFFICER Win Source Electronics | Nuoshi Wei Executive Assistant to COO Win Source Electronics | XC Xuefang Cai Chief Operating Officer Win Source Electronics",
https://app.swapcard.com/widget/event/hardware-pioneers-max-26/exhibitor/RXhoaWJpdG9yXzIyNTI2MDY=,200,2J Antennas & Antenova,"2J Antennas & Antenova | Information | 2J Antennas, a global recognised leader in antenna solutions trusted for delivering advanced technologies to power the connected world. We drive innovation and provide high-quality products and services leveraging cutting-edge technologies to meet the demands of the rapidly involving wireless industry. Our solutions cater to a wide range of including 5G/4G-LTE/Wi-Fi, Iridium Communications, GPS/GNSS/BeiDou frequencies and more serving industries such as Navigation, IoT, Telematics, M2M and beyond. | Antenova, known for its cutting-edge antenna designs and strong commitment to customer service, has been a trusted name in the wireless industry for over 20 years. With expertise in a wide range of applications including 5G/4G-LTE, Wi-Fi, Bluetooth, GPS/GNSS, ISM, UWB among others. Antenova’s global presence and dedication to quality have firmly established it as a market leader in RF modules and antennas. | Social media | Contact details | https://www.antenova.com | United Kingdom | Team | EG Edoardo Genovese Senior Manager - Field Applications Antenova | ED Erik Dankys Sales Director 2J Antennas | JA James Ashcroft Antenna Design Engineer Antenova Limited | MK Martina Klimkova Sales account manager Antenova Limited | MG Milos Gendiar Marketing Manager 2J Antennas",
https://app.swapcard.com/widget/event/hardware-pioneers-max-26/exhibitor/RXhoaWJpdG9yXzIyNTI2MDQ=,200,3Point1 Developments,"3Point1 Developments | Information | Working with commercial clients, our goal is to deliver complete innovative electronic product design in a simple and efficient way. | Social media | Contact details | https://3point1.design | United Kingdom | Team | JL James Lamb Design Director 3Point1 Developments | JH Jon Hawkins Technical Director 3Point1 Developments | LA Liliana Alexandre Product Designer 3Point1 Developments | PW Peter Wrigley Software Director 3Point1 Developments | SE Steve Entwistle Business Development Manager 3Point1 Developments",
https://app.swapcard.com/widget/event/hardware-pioneers-max-26/exhibitor/RXhoaWJpdG9yXzIyNTI2MDU=,200,AAV Plastics,"AAV Plastics | Information | At AAV Plastics we aim to be your plastic injection moulding partner, ensuring your parts and supply chain work for you. We offer end-to-end services including part and tooling design, prototyping, on-site tooling manufacture and on-site production in the UK. | Our 35+ years of expertise in plastics means we can help you solve your manufacturing challenges, by providing quality, value, production, assembly and delivery. | Some of our key offerings include: | Design & prototyping support | Low-cost & durable aluminium tooling | Full production scale steel tooling | UK or far-eastern tooling manufacture | On-site toolroom facilities for fast and flexible turnarounds of tooling modifications & maintenance | On-site production facilities for sampling & volume production | Gold-standard quality system | ISO9001:2015 and UL746D certifications | Social media | Contact details | https://www.aavplastics.com | United Kingdom | Products & services | Injection Moulding | Team | JS Joe Shade Engineer AAV Plastics",
https://app.swapcard.com/widget/event/hardware-pioneers-max-26/exhibitor/RXhoaWJpdG9yXzIyNTI2MTM=,200,Abracon,"Abracon | Products & services | Team | Information | Headquartered outside of Austin, Texas, Abracon is a trusted supplier of leading-edge and innovative electronic components including Frequency Control, Timing, Power, Magnetics, RF and Antenna solutions. Servicing world-class companies across the data communication, transportation, industrial, medical, consumer, aerospace, and defense industries, Abracon accelerates customers’ time-to-market by providing unmatched product solutions, technical expertise, and service excellence. | Social media | Contact details | https://abracon.com | USA | Frequency Control & Timing Devices | RF & Antennas | Power & Magnetics | Kevin Lemon Vice President, Global Product & Marketing Abracon | PR Paul Rodger SNR Product Line Manager Abracon | PR Paul Roger Senior Product Line Manager, Frequency Control and Timing abracon | robert Newbold Field Applications Engineer Abracon | SB Sara Bradley Regional Sales Manager UK & France abracon",
https://app.swapcard.com/widget/event/hardware-pioneers-max-26/exhibitor/RXhoaWJpdG9yXzIyNTI2MTQ=,200,Active-PCB,"Active-PCB | Team | Information | Active-PCB Solutions is a flexible contract manufacturers with decades of experience in complex PCB assembly, prototyping, box build and electronics testing. Our expertise spans across various industries, including defence, aerospace, communications, and medical sectors, but our commitment to manufacturing electronics with quality and precision extends to all areas. | Social media | Contact details | https://www.active-pcb.com | United Kingdom | EW Elizabeth Webb Business Development Manager Active-PCB Solutions | FA Frances Active-PCB Marketing Manager Active-PCB Solutions | JE Joanne Edwards Senior Account Manager Active-PCB Solutions | Jon Walker Business Development Manager Active-PCB Solutions | JQ Julie Quinn-Sinclair Account Manager Active-PCB Solutions",
https://app.swapcard.com/widget/event/hardware-pioneers-max-26/exhibitor/RXhoaWJpdG9yXzI0NzQ1NjI=,200,Alif Semiconductor,Alif Semiconductor | Contact details | https://alifsemi.com/ | Team | HF Henrik Flodell Sr. Product Marketing Director Alif Semiconductor | MS Mikko Saarnivala Marketing Director Alif Semiconductor,
https://app.swapcard.com/widget/event/hardware-pioneers-max-26/exhibitor/RXhoaWJpdG9yXzIyNTI2MTY=,200,Alliot,"Alliot | Information | We are the UK and Europe’s leading distributor of IoT solutions. We work with a variety of key partners across the globe to bring you the best in LoRaWAN, cellular LPWAN and IoT business solutions. Our team specialise in LPWAN. We pride ourselves on being at the very forefront of the latest IoT developments, supporting the best-in-class hardware, software and services. Our main technology areas include: LoRaWAN®, NB-IoT and CAT-M1 also known as LTE-M. | Contact details | https://www.alliot.co.uk | United Kingdom | Team | CH Craig Herrett Managing Director Alliot Technologies Ltd. | KF Kate Figg Group Marketing Manager Alliot Technologies Ltd | WK Wiktor Kochan Senior Technical Support Engineer Alliot Technologies Ltd.",
